Date,Fav,Dog
2025-12-23,New York,Toronto
2025-12-23,Chicago,Milwaukee
2025-12-23,Memphis,LA Clippers
2025-12-23,Okla City,Washington
2025-12-23,Dallas,Portland
2025-12-23,Denver,Phoenix
2025-12-23,Golden State,Indiana
2025-12-23,LA Lakers,Detroit
2025-12-25,New York,San Antonio
2025-12-25,Dallas,Minnesota
2025-12-25,Boston,Philadelphia
2025-12-25,Golden State,LA Lakers
2025-12-25,Denver,Phoenix
2025-12-26,Okla City,Indiana
2025-12-26,Orlando,Miami
2025-12-26,Charlotte,Washington
2025-12-26,Atlanta,Chicago
2025-12-26,Memphis,Toronto
2025-12-26,Milwaukee,Brooklyn
2025-12-26,Houston,New Orleans
2025-12-26,Portland,Utah
2025-12-26,Sacramento,Detroit
2025-12-27,New York,Orlando
2025-12-27,Boston,Indiana
2025-12-27,San Antonio,Brooklyn
2025-12-27,Houston,Minnesota
2025-12-27,Memphis,New Orleans
2025-12-27,Cleveland,Denver
2025-12-27,Phoenix,Dallas
2025-12-27,LA Clippers,Golden State
2025-12-28,Atlanta,Miami
2025-12-28,Okla City,Charlotte
2025-12-28,New York,Washington
2025-12-28,Milwaukee,Chicago
2025-12-28,Golden State,Phoenix
2025-12-28,Denver,Detroit
2025-12-28,Philadelphia,Utah
2025-12-28,Dallas,Portland
2025-12-28,LA Lakers,Sacramento
2025-12-29,Orlando,Brooklyn
2025-12-29,Boston,Indiana
2025-12-29,Toronto,Atlanta
2025-12-29,Houston,Miami
2025-12-29,Memphis,Okla City
2025-12-29,Minnesota,San Antonio
2025-12-30,Chicago,Charlotte
2025-12-30,New York,Washington
2025-12-30,LA Clippers,New Orleans
2025-12-30,Denver,Utah
2025-12-30,Cleveland,Golden State
2025-12-30,Philadelphia,Portland
2025-12-30,Sacramento,Dallas
2025-12-31,Boston,Toronto
2025-12-31,Milwaukee,Indiana
2025-12-31,San Antonio,LA Clippers
2025-12-31,Okla City,Okla City
2025-12-31,Phoenix,Memphis
2025-12-31,Cleveland,LA Lakers
2025-01-01,Detroit,Orlando
2025-01-01,Chicago,Washington
2025-01-01,Miami,New Orleans
2025-01-01,New York,Utah
2025-01-01,Toronto,Brooklyn
2025-01-01,Houston,Dallas
2025-01-01,Denver,Atlanta
2025-01-01,Sacramento,Philadelphia
2025-01-02,Miami,Indiana
2025-01-02,Boston,Minnesota
2025-01-02,Milwaukee,Brooklyn
2025-01-02,Okla City,LA Clippers
2025-01-02,Golden State,Philadelphia
2025-01-02,LA Lakers,Portland
2025-01-03,Detroit,Charlotte
2025-01-03,Orlando,Toronto
2025-01-03,Boston,Houston
2025-01-03,New Orleans,Washington
2025-01-03,Okla City,New York
2025-01-03,Cleveland,Dallas
2025-01-03,Denver,San Antonio
2025-01-03,Sacramento,Memphis
2025-01-03,LA Lakers,Atlanta
2025-01-04,Philadelphia,Brooklyn
2025-01-04,Minnesota,Detroit
2025-01-04,Indiana,Phoenix
2025-01-04,Miami,Utah
2025-01-04,New York,Chicago
2025-01-04,Milwaukee,Portland
2025-01-04,Denver,San Antonio
2025-01-04,Golden State,Memphis
2025-01-04,LA Clippers,Atlanta
2025-01-05,Okla City,Boston
2025-01-05,Cleveland,Charlotte
2025-01-05,New Orleans,Washington
2025-01-05,Orlando,Utah
2025-01-05,Houston,LA Lakers
2025-01-05,Golden State,Sacramento
2025-01-06,Detroit,Portland
2025-01-06,Phoenix,Philadelphia
2025-01-06,Indiana,Brooklyn
2025-01-06,New York,Orlando
2025-01-06,Milwaukee,Toronto
2025-01-06,San Antonio,Chicago
2025-01-06,Memphis,Dallas
2025-01-06,Minnesota,LA Clippers
2025-01-06,Sacramento,Miami
2025-01-07,Phoenix,Charlotte
2025-01-07,Houston,Washington
2025-01-07,LA Lakers,Dallas
2025-01-07,Minnesota,New Orleans
2025-01-07,Atlanta,Utah
2025-01-07,Boston,Denver
2025-01-07,Golden State,Miami
2025-01-08,Cleveland,Okla City
2025-01-08,Indiana,Chicago
2025-01-08,Philadelphia,Washington
2025-01-08,New York,Toronto
2025-01-08,Detroit,Brooklyn
2025-01-08,New Orleans,Portland
2025-01-08,LA Clippers,Denver
2025-01-08,Milwaukee,San Antonio
2025-01-09,Cleveland,Toronto
2025-01-09,Detroit,Golden State
2025-01-09,Minnesota,Orlando
2025-01-09,Dallas,Portland
2025-01-09,Memphis,Houston
2025-01-09,Phoenix,Atlanta
2025-01-10,Indiana,Golden State
2025-01-10,Milwaukee,Orlando
2025-01-10,Philadelphia,New Orleans
2025-01-10,Boston,Sacramento
2025-01-10,Okla City,New York
2025-01-10,Chicago,Washington
2025-01-10,Denver,Brooklyn
2025-01-11,Phoenix,Utah
2025-01-11,Detroit,Toronto
2025-01-11,Minnesota,Memphis
2025-01-11,Miami,Portland
2025-01-12,New York,Milwaukee
2025-01-12,Denver,Dallas
2025-01-12,Sacramento,Chicago
2025-01-12,Boston,New Orleans
2025-01-12,Cleveland,Indiana
2025-01-12,Philadelphia,Orlando
2025-01-12,Okla City,Washington
2025-01-12,Utah,Brooklyn
2025-01-12,Phoenix,Charlotte
2025-01-13,Minnesota,Washington
2025-01-13,New York,Detroit
2025-01-13,Golden State,Toronto
2025-01-13,Houston,Memphis
2025-01-13,LA Lakers,San Antonio
2025-01-13,LA Clippers,Miami
2025-01-14,Cleveland,Indiana
2025-01-14,Okla City,Philadelphia
2025-01-14,Phoenix,Atlanta
2025-01-14,Chicago,New Orleans
2025-01-14,Milwaukee,Sacramento
2025-01-14,Denver,Dallas
2025-01-14,Portland,Brooklyn
2025-01-15,New York,Philadelphia
2025-01-15,Boston,Toronto
2025-01-15,Chicago,Atlanta
2025-01-15,Milwaukee,Orlando
2025-01-15,New Orleans,Dallas
2025-01-15,Memphis,San Antonio
2025-01-15,Denver,Houston
2025-01-15,Charlotte,Utah
2025-01-15,Minnesota,Golden State
2025-01-15,LA Lakers,Miami
2025-01-15,LA Clippers,Brooklyn
2025-01-16,Detroit,Indiana
2025-01-16,Phoenix,Washington
2025-01-16,Okla City,Cleveland
2025-01-16,LA Clippers,Portland
2025-01-16,Sacramento,Houston
2025-01-17,Boston,Orlando
2025-01-17,New York,Minnesota
2025-01-17,Miami,Denver
2025-01-17,Milwaukee,Toronto
2025-01-17,New Orleans,Utah
2025-01-17,Chicago,Charlotte
2025-01-17,Okla City,Dallas
2025-01-17,Memphis,San Antonio
2025-01-17,LA Lakers,Brooklyn
2025-01-18,Phoenix,Detroit
2025-01-18,Boston,Atlanta
2025-01-18,Indiana,Philadelphia
2025-01-18,Golden State,Washington
2025-01-18,Cleveland,Minnesota
2025-01-18,Houston,Portland
2025-01-19,Miami,San Antonio
2025-01-19,Denver,Orlando
2025-01-19,Milwaukee,Philadelphia
2025-01-19,Okla City,Brooklyn
2025-01-19,LA Clippers,LA Lakers
2025-01-19,Chicago,Portland
2025-01-19,Sacramento,Washington
2025-01-20,Dallas,Charlotte
2025-01-20,Houston,Detroit
2025-01-20,Memphis,Minnesota
2025-01-20,New York,Atlanta
2025-01-20,Cleveland,Phoenix
2025-01-20,Boston,Golden State
2025-01-20,New Orleans,Utah
2025-01-20,LA Clippers,Chicago
2025-01-21,New York,Brooklyn
2025-01-21,Miami,Portland
2025-01-21,Orlando,Toronto
2025-01-21,Denver,Philadelphia
2025-01-21,LA Lakers,Washington
2025-01-22,Atlanta,Detroit
2025-01-22,Phoenix,Brooklyn
2025-01-22,Minnesota,Dallas
2025-01-22,Cleveland,Houston
2025-01-22,Memphis,Charlotte
2025-01-22,Okla City,Utah
2025-01-22,Sacramento,Golden State
2025-01-22,Boston,LA Clippers
2025-01-23,Indiana,San Antonio
2025-01-23,Orlando,Portland
2025-01-23,Atlanta,Toronto
2025-01-23,Milwaukee,Miami
2025-01-23,Okla City,Dallas
2025-01-23,Denver,Sacramento
2025-01-23,Golden State,Chicago
2025-01-23,Boston,LA Lakers
2025-01-23,LA Clippers,Washington
2025-01-24,Charlotte,Portland
2025-01-24,Cleveland,Philadelphia
2025-01-24,Memphis,New Orleans
2025-01-25,Indiana,San Antonio
2025-01-25,Denver,Minnesota
2025-01-25,Boston,Dallas
2025-01-25,Miami,Brooklyn
2025-01-25,New Orleans,Charlotte
2025-01-25,Orlando,Detroit
2025-01-25,Atlanta,Toronto
2025-01-25,Cleveland,Houston
2025-01-25,New York,Sacramento
2025-01-25,Chicago,Philadelphia
2025-01-25,Memphis,Utah
2025-01-25,LA Lakers,Golden State
2025-01-25,Phoenix,Washington
2025-01-25,LA Clippers,Milwaukee
2025-01-26,Okla City,Portland
2025-01-27,LA Lakers,Charlotte
2025-01-27,Cleveland,Detroit
2025-01-27,Boston,Houston
2025-01-27,Sacramento,Brooklyn
2025-01-27,Orlando,Miami
2025-01-27,New York,Memphis
2025-01-27,New Orleans,Toronto
2025-01-27,Denver,Chicago
2025-01-27,Minnesota,Atlanta
2025-01-27,Dallas,Washington
2025-01-27,Milwaukee,Utah
2025-01-27,LA Clippers,Phoenix
2025-01-28,LA Lakers,Philadelphia
2025-01-28,Houston,Atlanta
2025-01-28,Golden State,Utah
2025-01-28,Milwaukee,Portland
2025-01-29,Charlotte,Brooklyn
2025-01-29,Indiana,Detroit
2025-01-29,Toronto,Washington
2025-01-29,Boston,Chicago
2025-01-29,Cleveland,Miami
2025-01-29,New York,Denver
2025-01-29,Sacramento,Philadelphia
2025-01-29,Dallas,New Orleans
2025-01-29,LA Clippers,San Antonio
2025-01-29,Minnesota,Phoenix
2025-01-29,Okla City,Golden State
2025-01-30,LA Lakers,Washington
2025-01-30,Cleveland,Atlanta
2025-01-30,Minnesota,Utah
2025-01-30,Memphis,Houston
2025-01-30,Orlando,Portland
2025-01-31,LA Clippers,Charlotte
2025-01-31,Detroit,Dallas
2025-01-31,Denver,Philadelphia
2025-01-31,Toronto,Chicago
2025-01-31,Boston,New Orleans
2025-01-31,Milwaukee,San Antonio
2025-01-31,Phoenix,Golden State
2025-02-01,Indiana,Atlanta
2025-02-01,Orlando,Utah
2025-02-01,Denver,Charlotte
2025-02-01,Houston,Brooklyn
2025-02-01,Minnesota,Washington
2025-02-01,Okla City,Sacramento
2025-02-01,New York,LA Lakers
2025-02-01,San Antonio,Miami
2025-02-01,Phoenix,Portland
2025-02-02,Detroit,Chicago
2025-02-02,Cleveland,Dallas
2025-02-02,LA Clippers,Toronto
2025-02-02,Boston,Philadelphia
2025-02-02,Milwaukee,Memphis
2025-02-03,Charlotte,Washington
2025-02-03,Detroit,Atlanta
2025-02-03,New York,Houston
2025-02-03,Memphis,San Antonio
2025-02-03,Minnesota,Sacramento
2025-02-03,Okla City,Milwaukee
2025-02-03,Denver,New Orleans
2025-02-03,Indiana,Utah
2025-02-03,Golden State,Orlando
2025-02-03,Phoenix,Portland
2025-02-04,Philadelphia,Dallas
2025-02-04,Cleveland,Boston
2025-02-04,Houston,Brooklyn
2025-02-04,New York,Toronto
2025-02-04,Miami,Chicago
2025-02-04,LA Clippers,LA Lakers
2025-02-04,Indiana,Portland
2025-02-05,Milwaukee,Charlotte
2025-02-05,Cleveland,Detroit
2025-02-05,San Antonio,Atlanta
2025-02-05,Brooklyn,Washington
2025-02-05,Philadelphia,Miami
2025-02-05,Memphis,Toronto
2025-02-05,Minnesota,Chicago
2025-02-05,Golden State,Utah
2025-02-05,Denver,New Orleans
2025-02-05,Okla City,Phoenix
2025-02-05,Sacramento,Orlando
2025-02-06,Boston,Dallas
2025-02-06,Houston,Minnesota
2025-02-06,Denver,Orlando
2025-02-06,LA Lakers,Golden State
2025-02-06,Portland,Sacramento
2025-02-06,LA Clippers,Indiana
2025-02-07,San Antonio,Charlotte
2025-02-07,Cleveland,Washington
2025-02-07,Milwaukee,Atlanta
2025-02-07,Miami,Brooklyn
2025-02-07,Philadelphia,Detroit
2025-02-07,Okla City,Toronto
2025-02-07,Phoenix,Utah
2025-02-08,Dallas,Houston
2025-02-08,Indiana,LA Lakers
2025-02-08,Orlando,San Antonio
2025-02-08,Atlanta,Washington
2025-02-08,Golden State,Chicago
2025-02-08,Okla City,Memphis
2025-02-08,Minnesota,Portland
2025-02-08,Boston,New York
2025-02-08,Denver,Phoenix
2025-02-08,Sacramento,New Orleans
2025-02-08,LA Clippers,Utah
2025-02-09,Detroit,Charlotte
2025-02-09,Houston,Toronto
2025-02-09,Philadelphia,Milwaukee
2025-02-10,Cleveland,Minnesota
2025-02-10,Orlando,Atlanta
2025-02-10,San Antonio,Washington
2025-02-10,Brooklyn,Charlotte
2025-02-10,Boston,Miami
2025-02-10,Golden State,Milwaukee
2025-02-10,Okla City,New Orleans
2025-02-10,Dallas,Sacramento
2025-02-10,Denver,Portland
2025-02-10,LA Lakers,Utah
2025-02-11,Philadelphia,Toronto
2025-02-11,New York,Indiana
2025-02-11,Detroit,Chicago
2025-02-11,Memphis,Phoenix
2025-02-12,Boston,San Antonio
2025-02-12,Orlando,Charlotte
2025-02-12,Indiana,Washington
2025-02-12,Philadelphia,Brooklyn
2025-02-12,New York,Atlanta
2025-02-12,Cleveland,Toronto
2025-02-12,Detroit,Chicago
2025-02-12,Minnesota,Milwaukee
2025-02-12,Sacramento,New Orleans
2025-02-12,Okla City,Miami
2025-02-12,Houston,Phoenix
2025-02-12,Denver,Portland
2025-02-12,LA Lakers,Utah
2025-02-12,Golden State,Dallas
2025-02-12,LA Clippers,Memphis
2025-02-13,Houston,Golden State
2025-02-13,Sacramento,New Orleans
2025-02-13,Miami,Dallas
2025-02-13,Okla City,Minnesota
2025-02-13,LA Clippers,Utah
2025-02-19,LA Lakers,Charlotte
2025-02-20,Memphis,Indiana
2025-02-20,Boston,Philadelphia
2025-02-20,Orlando,Atlanta
2025-02-20,Cleveland,Brooklyn
2025-02-20,New York,Chicago
2025-02-20,LA Clippers,Milwaukee
2025-02-20,Denver,Charlotte
2025-02-20,Phoenix,San Antonio
2025-02-20,LA Lakers,Portland
2025-02-21,Cleveland,New York
2025-02-21,Memphis,Orlando
2025-02-21,Milwaukee,Washington
2025-02-21,Miami,Toronto
2025-02-21,Detroit,San Antonio
2025-02-21,Dallas,New Orleans
2025-02-21,Houston,Minnesota
2025-02-21,Okla City,Utah
2025-02-21,Golden State,Sacramento
2025-02-22,Phoenix,Chicago
2025-02-22,Philadelphia,Brooklyn
2025-02-22,Denver,LA Lakers
2025-02-22,Houston,Utah
2025-02-22,Portland,Charlotte
2025-02-24,LA Clippers,Detroit
2025-02-24,Denver,Indiana
2025-02-24,Philadelphia,Chicago
2025-02-24,Brooklyn,Washington
2025-02-24,Miami,Atlanta
2025-02-24,Okla City,Minnesota
2025-02-24,Portland,Utah
2025-02-24,Sacramento,Charlotte
2025-02-25,Boston,Toronto
2025-02-25,Cleveland,Orlando
2025-02-25,Houston,Milwaukee
2025-02-25,Memphis,Phoenix
2025-02-25,New Orleans,San Antonio
2025-02-25,Golden State,Charlotte
2025-02-25,LA Lakers,Dallas
2025-02-26,Boston,Detroit
2025-02-26,Indiana,Toronto
2025-02-26,New York,Philadelphia
2025-02-26,Portland,Washington
2025-02-26,Okla City,Brooklyn
2025-02-26,Miami,Atlanta
2025-02-26,LA Clippers,Chicago
2025-02-26,Sacramento,Utah
2025-02-26,Houston,San Antonio
2025-02-27,Golden State,Orlando
2025-02-27,Denver,Milwaukee
2025-02-27,Dallas,Charlotte
2025-02-27,Phoenix,New Orleans
2025-02-27,LA Lakers,Minnesota
2025-02-28,Detroit,Denver
2025-02-28,Okla City,Atlanta
2025-02-28,Boston,Cleveland
2025-02-28,Portland,Brooklyn
2025-02-28,Indiana,Miami
2025-02-28,Chicago,Toronto
2025-02-28,Memphis,New York
2025-02-28,Phoenix,New Orleans
2025-02-28,Minnesota,Utah
2025-02-28,LA Clippers,LA Lakers
2025-03-01,Charlotte,Washington
2025-03-01,Detroit,Brooklyn
2025-03-01,Houston,Sacramento
2025-03-01,Memphis,San Antonio
2025-03-01,Golden State,Philadelphia
2025-03-01,Milwaukee,Dallas
2025-03-02,Cleveland,Portland
2025-03-02,Indiana,Chicago
2025-03-02,New York,Miami
2025-03-02,Orlando,Toronto
2025-03-02,Okla City,San Antonio
2025-03-02,New Orleans,Utah
2025-03-02,Phoenix,Minnesota
2025-03-02,LA Clippers,LA Lakers
2025-03-03,Golden State,Charlotte
2025-03-03,Philadelphia,Portland
2025-03-03,Miami,Washington
2025-03-03,Memphis,Atlanta
2025-03-03,Sacramento,Dallas
2025-03-03,Detroit,Utah
2025-03-04,Indiana,Houston
2025-03-04,Orlando,Toronto
2025-03-04,Milwaukee,Atlanta
2025-03-04,New York,Golden State
2025-03-04,Cleveland,Chicago
2025-03-04,Minnesota,Philadelphia
2025-03-04,San Antonio,Brooklyn
2025-03-04,LA Clippers,Phoenix
2025-03-04,LA Lakers,New Orleans
2025-03-05,Boston,Portland
2025-03-05,Minnesota,Charlotte
2025-03-05,Cleveland,Miami
2025-03-05,Washington,Utah
2025-03-05,Milwaukee,Dallas
2025-03-05,Denver,Sacramento
2025-03-05,Okla City,Memphis
2025-03-05,Detroit,LA Clippers
2025-03-06,Orlando,Chicago
2025-03-06,Indiana,Atlanta
2025-03-06,Boston,Philadelphia
2025-03-06,Golden State,Brooklyn
2025-03-06,Houston,New Orleans
2025-03-06,LA Lakers,New York
2025-03-07,Cleveland,Charlotte
2025-03-07,Toronto,Utah
2025-03-07,Memphis,Dallas
2025-03-07,Minnesota,Miami
2025-03-07,Okla City,Portland
2025-03-07,Denver,Phoenix
2025-03-07,Sacramento,San Antonio
2025-03-07,LA Clippers,New York
2025-03-08,Brooklyn,Charlotte
2025-03-08,Houston,New Orleans
2025-03-08,Indiana,Atlanta
2025-03-08,Toronto,Washington
2025-03-08,Miami,Chicago
2025-03-08,Milwaukee,Orlando
2025-03-08,Boston,LA Lakers
2025-03-08,Golden State,Detroit
2025-03-09,Phoenix,Dallas
2025-03-09,Memphis,New Orleans
2025-03-09,Philadelphia,Utah
2025-03-09,Cleveland,Milwaukee
2025-03-09,Minnesota,San Antonio
2025-03-09,Detroit,Portland
2025-03-09,LA Clippers,Sacramento
2025-03-10,Atlanta,Philadelphia
2025-03-10,Boston,Utah
2025-03-10,LA Lakers,Brooklyn
2025-03-10,Miami,Charlotte
2025-03-10,Toronto,Washington
2025-03-10,Indiana,Chicago
2025-03-10,Houston,Orlando
2025-03-10,Memphis,Phoenix
2025-03-10,Okla City,Denver
2025-03-10,San Antonio,Dallas
2025-03-10,Golden State,Portland
2025-03-10,New York,Sacramento
2025-03-11,Cleveland,Brooklyn
2025-03-11,Detroit,Washington
2025-03-11,Milwaukee,Indiana
2025-03-11,LA Clippers,New Orleans
2025-03-12,Atlanta,Charlotte
2025-03-12,Boston,Okla City
2025-03-12,Toronto,Philadelphia
2025-03-12,Miami,LA Clippers
2025-03-12,Houston,Phoenix
2025-03-12,Memphis,Utah
2025-03-12,San Antonio,Dallas
2025-03-12,Denver,Minnesota
2025-03-12,New York,Portland
2025-03-13,Detroit,Washington
2025-03-13,Milwaukee,LA Lakers
2025-03-13,Chicago,Brooklyn
2025-03-13,Orlando,New Orleans
2025-03-13,Golden State,Sacramento
2025-03-14,Boston,Miami
2025-03-14,Indiana,Philadelphia
2025-03-14,LA Clippers,Atlanta
2025-03-14,Houston,Dallas
2025-03-14,Cleveland,Memphis
2025-03-14,Minnesota,Orlando
2025-03-14,San Antonio,Charlotte
2025-03-14,Denver,LA Lakers
2025-03-14,Utah,Toronto
2025-03-14,Phoenix,Sacramento
2025-03-15,Boston,Brooklyn
2025-03-15,Okla City,Detroit
2025-03-15,Houston,Chicago
2025-03-15,Memphis,Miami
2025-03-15,Milwaukee,Indiana
2025-03-15,New Orleans,San Antonio
2025-03-15,Golden State,New York
2025-03-15,Denver,Washington
2025-03-16,Dallas,Philadelphia
2025-03-16,Cleveland,Orlando
2025-03-16,LA Lakers,Phoenix
2025-03-16,Atlanta,Brooklyn
2025-03-16,Portland,Toronto
2025-03-16,Minnesota,Utah
2025-03-16,LA Clippers,Charlotte
2025-03-16,Okla City,Milwaukee
2025-03-17,New York,Miami
2025-03-17,Houston,Philadelphia
2025-03-17,Minnesota,Indiana
2025-03-17,Detroit,New Orleans
2025-03-17,Chicago,Utah
2025-03-17,Golden State,Denver
2025-03-17,Phoenix,Toronto
2025-03-17,Sacramento,Memphis
2025-03-17,Portland,Washington
2025-03-17,LA Lakers,San Antonio
2025-03-18,Atlanta,Charlotte
2025-03-18,Boston,Brooklyn
2025-03-18,Milwaukee,Golden State
2025-03-18,Cleveland,LA Clippers
2025-03-19,Indiana,Dallas
2025-03-19,Houston,Orlando
2025-03-19,Detroit,Miami
2025-03-19,Minnesota,New Orleans
2025-03-19,Okla City,Philadelphia
